source_name,destination_name,actual_distance_to_destination,actual_time,osrm_distance,osrm_time,factor,segment_actual_time,segment_osrm_time,segment_osrm_distance
Bengaluru_Bomsndra_HB (Karnataka),Aluva_Peedika_H (Kerala),24.31986386350584,50.0,29.7046,24.0,2.083333333333333,50.0,24.0,29.7046
Bengaluru_Bomsndra_HB (Karnataka),Aluva_Peedika_H (Kerala),44.43657660813611,80.0,51.631,43.0,1.8604651162790695,30.0,18.0,21.9265
Bengaluru_Bomsndra_HB (Karnataka),Aluva_Peedika_H (Kerala),67.73482729847098,174.0,96.7055,82.0,2.1219512195121952,93.0,38.0,45.0744
Bengaluru_Bomsndra_HB (Karnataka),Aluva_Peedika_H (Kerala),89.31971340409117,236.0,132.086,119.0,1.9831932773109244,62.0,37.0,35.3805
Bengaluru_Bomsndra_HB (Karnataka),Aluva_Peedika_H (Kerala),110.62044270267867,285.0,159.8228,149.0,1.912751677852349,49.0,30.0,27.7369
Bengaluru_Bomsndra_HB (Karnataka),Aluva_Peedika_H (Kerala),134.70055569613038,324.0,184.8252,175.0,1.8514285714285716,38.0,25.0,25.0182
Bengaluru_Bomsndra_HB (Karnataka),Aluva_Peedika_H (Kerala),154.847431094117,350.0,207.7469,192.0,1.8229166666666667,26.0,17.0,22.9217
Bengaluru_Bomsndra_HB (Karnataka),Aluva_Peedika_H (Kerala),177.5539525351548,377.0,237.1675,214.0,1.7616822429906542,27.0,22.0,29.4206
Bengaluru_Bomsndra_HB (Karnataka),Aluva_Peedika_H (Kerala),199.7985050302375,404.0,262.2909,233.0,1.7339055793991416,26.0,18.0,25.1233
Bengaluru_Bomsndra_HB (Karnataka),Aluva_Peedika_H (Kerala),220.40088509292144,440.0,286.7275,251.0,1.752988047808765,35.0,18.0,24.4366
Bengaluru_Bomsndra_HB (Karnataka),Aluva_Peedika_H (Kerala),242.9264200000152,466.0,311.0967,270.0,1.725925925925926,26.0,18.0,24.3692
Bengaluru_Bomsndra_HB (Karnataka),Aluva_Peedika_H (Kerala),267.1737965517178,533.0,341.1483,304.0,1.7532894736842106,67.0,36.0,41.6972
Bengaluru_Bomsndra_HB (Karnataka),Aluva_Peedika_H (Kerala),292.0587177317109,572.0,369.2797,332.0,1.7228915662650603,38.0,32.0,34.2999
Bengaluru_Bomsndra_HB (Karnataka),Aluva_Peedika_H (Kerala),308.8523393389864,592.0,387.3361,349.0,1.6962750716332378,20.0,16.0,18.0564
Bengaluru_Bomsndra_HB (Karnataka),Aluva_Peedika_H (Kerala),331.4941660003984,643.0,416.1922,376.0,1.7101063829787233,51.0,27.0,28.8561
Bengaluru_Bomsndra_HB (Karnataka),Aluva_Peedika_H (Kerala),331.6523996130991,738.0,472.5899,433.0,1.7043879907621249,94.0,70.0,72.5561
Ludhiana_GillChwk_DC (Punjab),Jagraon_DC (Punjab),23.58330640570861,20.0,23.81,16.0,1.25,20.0,16.0,23.81
Ludhiana_GillChwk_DC (Punjab),Jagraon_DC (Punjab),36.6231718040162,40.0,40.664,31.0,1.2903225806451613,19.0,14.0,16.854
Jagraon_DC (Punjab),Raikot_DC (Punjab),20.456544339323543,51.0,23.3491,35.0,1.457142857142857,51.0,35.0,23.3491
Raikot_DC (Punjab),Ludhiana_MilrGanj_HB (Punjab),22.23803749197899,41.0,32.6991,45.0,0.9111111111111112,41.0,45.0,32.6991
Raikot_DC (Punjab),Ludhiana_MilrGanj_HB (Punjab),38.40878261087243,61.0,59.752300000000005,57.0,1.0701754385964912,20.0,27.0,19.0379
Bangalore_Nelmngla_H (Karnataka),Bengaluru_Bnnrghta_L (Karnataka),10.25966085679703,15.0,14.1889,15.0,1.0,15.0,15.0,14.1889
Bangalore_Nelmngla_H (Karnataka),Bengaluru_Bnnrghta_L (Karnataka),18.973335823119555,27.0,23.5235,22.0,1.2272727272727273,12.0,13.0,13.3799
Bangalore_Nelmngla_H (Karnataka),Bengaluru_Bnnrghta_L (Karnataka),27.17603390997179,51.0,36.1825,31.0,1.6451612903225807,23.0,10.0,10.523
Bangalore_Nelmngla_H (Karnataka),Bengaluru_Bnnrghta_L (Karnataka),31.692506090505763,69.0,41.3322,39.0,1.7692307692307692,18.0,7.0,5.1497
Junagadh_DPC (Gujarat),Junagadh_keshod_DC (Gujarat),9.75651428694228,15.0,14.101299999999998,14.0,1.0714285714285714,15.0,14.0,14.101299999999998
Junagadh_DPC (Gujarat),Junagadh_keshod_DC (Gujarat),18.921121976539972,29.0,19.5467,13.0,2.230769230769231,14.0,12.0,12.1334
Junagadh_DPC (Gujarat),Junagadh_keshod_DC (Gujarat),27.023472193154976,41.0,29.8501,21.0,1.9523809523809523,11.0,7.0,10.3034
Junagadh_DPC (Gujarat),Junagadh_keshod_DC (Gujarat),28.34066093997309,43.0,31.1283,22.0,1.9545454545454544,2.0,0.0,1.2782
Veraval_DC (Gujarat),Kodinar_NCplxDPP_D (Gujarat),9.518242562495791,16.0,13.0306,9.0,1.7777777777777777,16.0,9.0,13.0306
Veraval_DC (Gujarat),Kodinar_NCplxDPP_D (Gujarat),18.70597998884747,30.0,22.8418,16.0,1.875,13.0,6.0,9.8112
Veraval_DC (Gujarat),Kodinar_NCplxDPP_D (Gujarat),27.509813406778253,50.0,35.0985,24.0,2.083333333333333,20.0,8.0,12.2567
Veraval_DC (Gujarat),Kodinar_NCplxDPP_D (Gujarat),33.569972878801046,74.0,43.1216,32.0,2.3125,24.0,7.0,8.023100000000001
Kodinar_NCplxDPP_D (Gujarat),Una_Mamlatdr_DC (Gujarat),34.29262431189091,57.0,36.3964,26.0,2.1923076923076925,57.0,26.0,36.3964
Kodinar_NCplxDPP_D (Gujarat),Una_Mamlatdr_DC (Gujarat),37.24074080908733,59.0,39.5496,28.0,2.107142857142857,1.0,2.0,3.1531
Kodinar_NCplxDPP_D (Gujarat),Una_Mamlatdr_DC (Gujarat),37.24074080908733,59.0,39.5496,28.0,2.107142857142857,0.0,0.0,0.0
Una_Mamlatdr_DC (Gujarat),Talala_SsnRdDPP_D (Gujarat),9.996277511276327,15.0,11.6241,10.0,1.5,15.0,10.0,11.6241
Una_Mamlatdr_DC (Gujarat),Talala_SsnRdDPP_D (Gujarat),23.32832786518172,37.0,26.6106,24.0,1.5416666666666667,22.0,13.0,14.9864
Una_Mamlatdr_DC (Gujarat),Talala_SsnRdDPP_D (Gujarat),39.54026305783818,65.0,45.521800000000006,42.0,1.5476190476190477,27.0,17.0,18.9113
Una_Mamlatdr_DC (Gujarat),Talala_SsnRdDPP_D (Gujarat),45.40221058151275,79.0,53.3342,49.0,1.6122448979591837,14.0,7.0,7.812399999999999
Una_Mamlatdr_DC (Gujarat),Talala_SsnRdDPP_D (Gujarat),54.26972085681332,89.0,62.6152,57.0,1.5614035087719298,10.0,8.0,9.281
Una_Mamlatdr_DC (Gujarat),Talala_SsnRdDPP_D (Gujarat),56.9862778154886,110.0,73.81989999999999,60.0,1.8333333333333333,20.0,5.0,6.9929
Talala_SsnRdDPP_D (Gujarat),Junagadh_DPC (Gujarat),10.246218976595964,20.0,13.515,15.0,1.3333333333333333,20.0,15.0,13.515
Talala_SsnRdDPP_D (Gujarat),Junagadh_DPC (Gujarat),18.26590272534641,26.0,22.0611,24.0,1.0833333333333333,6.0,9.0,8.5462
Talala_SsnRdDPP_D (Gujarat),Junagadh_DPC (Gujarat),33.831072299075785,52.0,40.5264,42.0,1.238095238095238,25.0,17.0,18.4652
Talala_SsnRdDPP_D (Gujarat),Junagadh_DPC (Gujarat),43.35518464543144,58.0,54.4999,55.0,1.0545454545454545,6.0,12.0,13.9735
Talala_SsnRdDPP_D (Gujarat),Junagadh_DPC (Gujarat),46.32261278961869,104.0,60.1994,60.0,1.7333333333333334,45.0,5.0,5.6995
Talala_SsnRdDPP_D (Gujarat),Junagadh_DPC (Gujarat),52.256689893919706,112.0,67.586,67.0,1.671641791044776,8.0,6.0,7.3866
Sonipat_Kundli_H (Haryana),Roorkee_IOTCEncl_L (Uttarakhand),22.18267915236234,36.0,23.8865,26.0,1.3846153846153846,36.0,26.0,23.8865
Sonipat_Kundli_H (Haryana),Roorkee_IOTCEncl_L (Uttarakhand),44.45941335303138,93.0,48.9391,46.0,2.0217391304347827,57.0,19.0,25.0526
Sonipat_Kundli_H (Haryana),Roorkee_IOTCEncl_L (Uttarakhand),67.37593518083708,129.0,72.4798,72.0,1.7916666666666667,35.0,25.0,23.5407
Sonipat_Kundli_H (Haryana),Roorkee_IOTCEncl_L (Uttarakhand),88.75051101807685,171.0,95.5568,97.0,1.7628865979381445,42.0,25.0,23.077
Sonipat_Kundli_H (Haryana),Roorkee_IOTCEncl_L (Uttarakhand),110.3735843557662,215.0,136.8211,116.0,1.853448275862069,44.0,26.0,24.4111
Sonipat_Kundli_H (Haryana),Roorkee_IOTCEncl_L (Uttarakhand),128.30906867552375,291.0,163.1561,139.0,2.093525179856115,75.0,23.0,26.335
Roorkee_IOTCEncl_L (Uttarakhand),Haridwar (Uttarakhand),22.351602785529085,78.0,23.5703,28.0,2.7857142857142856,78.0,28.0,23.5703
Roorkee_IOTCEncl_L (Uttarakhand),Haridwar (Uttarakhand),27.62135344881845,90.0,30.9921,37.0,2.4324324324324325,11.0,9.0,7.4218
Haridwar (Uttarakhand),Rishikesh_DC (Uttarakhand),17.900625671359588,36.0,19.0621,23.0,1.565217391304348,36.0,23.0,19.0621
MAA_Poonamallee_HB (Tamil Nadu),Chennai_Hub (Tamil Nadu),9.28585636505304,42.0,9.9365,10.0,4.2,42.0,10.0,9.9365
MAA_Poonamallee_HB (Tamil Nadu),Chennai_Hub (Tamil Nadu),18.094961995163533,69.0,19.8934,18.0,3.8333333333333335,27.0,7.0,9.9569
MAA_Poonamallee_HB (Tamil Nadu),Chennai_Hub (Tamil Nadu),27.106207482234943,84.0,29.6956,26.0,3.230769230769231,14.0,8.0,9.8021
MAA_Poonamallee_HB (Tamil Nadu),Chennai_Hub (Tamil Nadu),31.157973827832784,92.0,35.6749,32.0,2.875,8.0,5.0,5.9794
Ludhiana_MilrGanj_HB (Punjab),Jalandhar_DPC (Punjab),23.07149480343643,29.0,26.1525,18.0,1.6111111111111112,29.0,18.0,26.1525
Ludhiana_MilrGanj_HB (Punjab),Jalandhar_DPC (Punjab),45.287400775333474,59.0,51.4887,36.0,1.6388888888888888,29.0,17.0,25.3362
Ludhiana_MilrGanj_HB (Punjab),Jalandhar_DPC (Punjab),62.33351698271,93.0,70.06869999999999,49.0,1.8979591836734693,34.0,13.0,18.58
Jalandhar_DPC (Punjab),Amritsar_DPC (Punjab),23.0866332679928,32.0,27.7937,22.0,1.4545454545454546,32.0,22.0,27.7937
Jalandhar_DPC (Punjab),Amritsar_DPC (Punjab),45.4848330322189,57.0,51.1221,38.0,1.5,25.0,16.0,23.3284
Jalandhar_DPC (Punjab),Amritsar_DPC (Punjab),66.55533506510072,81.0,72.78389999999999,53.0,1.528301886792453,24.0,15.0,21.6618
Jalandhar_DPC (Punjab),Amritsar_DPC (Punjab),79.28964980161632,102.0,86.55630000000001,67.0,1.5223880597014925,20.0,13.0,13.7724
Gurgaon_Begumpur_CP (Haryana),Gurgaon_Bilaspur_P (Haryana),9.870529497175756,30.0,14.3221,13.0,2.3076923076923075,30.0,13.0,14.3221
Gurgaon_Begumpur_CP (Haryana),Gurgaon_Bilaspur_P (Haryana),18.16335825549596,42.0,33.1184,31.0,1.3548387096774193,12.0,17.0,18.7963
Gurgaon_Begumpur_CP (Haryana),Gurgaon_Bilaspur_P (Haryana),27.59820233441206,56.0,34.2314,33.0,1.696969696969697,13.0,17.0,17.3092
Gurgaon_Begumpur_CP (Haryana),Gurgaon_Bilaspur_P (Haryana),29.44027723941914,58.0,34.7591,33.0,1.7575757575757576,2.0,0.0,0.5277000000000001
Jaipur_Hub (Rajasthan),Ajmer_FoySGRRD_I (Rajasthan),22.564533116544244,60.0,24.1005,19.0,3.1578947368421053,60.0,19.0,24.1005
Jaipur_Hub (Rajasthan),Ajmer_FoySGRRD_I (Rajasthan),45.388094678786615,117.0,49.1993,37.0,3.1621621621621623,57.0,17.0,25.0988
Jaipur_Hub (Rajasthan),Ajmer_FoySGRRD_I (Rajasthan),78.20476588145482,159.0,82.8385,61.0,2.6065573770491803,42.0,23.0,33.6391
Jaipur_Hub (Rajasthan),Ajmer_FoySGRRD_I (Rajasthan),88.0106155904509,171.0,92.6769,68.0,2.514705882352941,12.0,6.0,9.8384
Jaipur_Hub (Rajasthan),Ajmer_FoySGRRD_I (Rajasthan),115.30534949172352,223.0,132.17870000000002,106.0,2.10377358490566,51.0,37.0,39.5019
Jaipur_Hub (Rajasthan),Ajmer_FoySGRRD_I (Rajasthan),125.69834504850613,267.0,143.0736,106.0,2.518867924528302,44.0,19.0,16.886599999999998
Ajmer_FoySGRRD_I (Rajasthan),Pali_Nayagaon_I (Rajasthan),25.190138148283864,38.0,25.4423,19.0,2.0,38.0,19.0,25.4423
Ajmer_FoySGRRD_I (Rajasthan),Pali_Nayagaon_I (Rajasthan),45.29059444970998,66.0,45.7315,33.0,2.0,28.0,14.0,20.2893
Ajmer_FoySGRRD_I (Rajasthan),Pali_Nayagaon_I (Rajasthan),68.3106794601578,110.0,69.2565,50.0,2.2,43.0,16.0,23.525
Ajmer_FoySGRRD_I (Rajasthan),Pali_Nayagaon_I (Rajasthan),88.93883125668695,140.0,91.2467,65.0,2.1538461538461537,30.0,15.0,21.9902
Ajmer_FoySGRRD_I (Rajasthan),Pali_Nayagaon_I (Rajasthan),111.08546566638336,178.0,116.6084,83.0,2.144578313253012,38.0,17.0,25.3616
Ajmer_FoySGRRD_I (Rajasthan),Pali_Nayagaon_I (Rajasthan),132.95538222717184,205.0,141.0785,101.0,2.0297029702970297,27.0,17.0,24.4701
Ajmer_FoySGRRD_I (Rajasthan),Pali_Nayagaon_I (Rajasthan),147.7367476679677,241.0,165.00879999999998,121.0,1.991735537190083,35.0,20.0,23.9303
Pali_Nayagaon_I (Rajasthan),Jodhpur_Basni_I (Rajasthan),23.980240379801405,36.0,28.209,21.0,1.7142857142857142,36.0,21.0,28.209
Pali_Nayagaon_I (Rajasthan),Jodhpur_Basni_I (Rajasthan),44.27751487013823,68.0,49.616,36.0,1.8888888888888888,32.0,15.0,21.407
Pali_Nayagaon_I (Rajasthan),Jodhpur_Basni_I (Rajasthan),61.25988121848766,147.0,69.9043,54.0,2.7222222222222223,79.0,18.0,20.2883
Jodhpur_Basni_I (Rajasthan),Piparcity_BsstdDPP_D (Rajasthan),22.14026066304613,40.0,23.7375,21.0,1.9047619047619049,40.0,21.0,23.7375
Jodhpur_Basni_I (Rajasthan),Piparcity_BsstdDPP_D (Rajasthan),45.89878553144952,76.0,49.0774,39.0,1.948717948717949,36.0,18.0,25.3399
Jodhpur_Basni_I (Rajasthan),Piparcity_BsstdDPP_D (Rajasthan),56.150112224727934,146.0,61.5216,51.0,2.862745098039216,69.0,11.0,12.4441
Piparcity_BsstdDPP_D (Rajasthan),Unknown,24.53821418916081,58.0,30.8845,33.0,1.7575757575757576,58.0,33.0,30.8845
Piparcity_BsstdDPP_D (Rajasthan),Unknown,34.65770882100574,110.0,41.5361,43.0,2.558139534883721,52.0,10.0,10.6517
Unknown,Jaipur_Hub (Rajasthan),22.783439997980103,48.0,37.7749,34.0,1.411764705882353,48.0,34.0,37.7749
Unknown,Jaipur_Hub (Rajasthan),46.07124976936246,98.0,56.3575,41.0,2.3902439024390243,49.0,33.0,34.1661
Unknown,Jaipur_Hub (Rajasthan),67.71499349867793,127.0,80.48110000000001,58.0,2.189655172413793,29.0,17.0,24.1236
Unknown,Jaipur_Hub (Rajasthan),88.14964150013795,156.0,101.2556,73.0,2.136986301369863,28.0,14.0,20.7746
Unknown,Jaipur_Hub (Rajasthan),112.69198093544304,212.0,127.986,92.0,2.3043478260869565,55.0,18.0,26.730400000000003
Unknown,Jaipur_Hub (Rajasthan),132.12889815797018,266.0,156.5566,117.0,2.2735042735042734,54.0,25.0,28.5706
Unknown,Jaipur_Hub (Rajasthan),154.30562498408094,314.0,186.5238,138.0,2.27536231884058,47.0,21.0,29.9673
Unknown,Jaipur_Hub (Rajasthan),178.61199076530912,350.0,218.2945,161.0,2.1739130434782608,35.0,22.0,31.7707
Unknown,Jaipur_Hub (Rajasthan),199.3531790538446,391.0,234.8976,176.0,2.221590909090909,41.0,20.0,22.9423
Unknown,Jaipur_Hub (Rajasthan),208.029245999282,412.0,244.084,185.0,2.227027027027027,20.0,8.0,9.1864
Hyderabad_Chikdply_C (Telangana),Hyderabad_Shamshbd_P (Telangana),9.177701444306376,19.0,11.4439,9.0,2.111111111111111,19.0,9.0,11.4439
Hyderabad_Chikdply_C (Telangana),Hyderabad_Shamshbd_P (Telangana),18.61313899570445,46.0,22.5628,20.0,2.3,26.0,10.0,11.119
Hyderabad_Chikdply_C (Telangana),Hyderabad_Shamshbd_P (Telangana),21.718074296707137,55.0,26.2316,22.0,2.5,9.0,6.0,4.4273
Bhopal_Trnsport_H (Madhya Pradesh),Kanpur_Central_H_6 (Uttar Pradesh),23.26495121617734,38.0,32.8061,23.0,1.6521739130434785,38.0,23.0,32.8061
Bhopal_Trnsport_H (Madhya Pradesh),Kanpur_Central_H_6 (Uttar Pradesh),44.33556687967909,98.0,54.9426,38.0,2.5789473684210527,60.0,15.0,22.1364
Bhopal_Trnsport_H (Madhya Pradesh),Kanpur_Central_H_6 (Uttar Pradesh),66.31986592753557,128.0,77.839,55.0,2.327272727272727,30.0,16.0,22.8965
Bhopal_Trnsport_H (Madhya Pradesh),Kanpur_Central_H_6 (Uttar Pradesh),89.37432359933982,154.0,102.2663,72.0,2.138888888888889,25.0,17.0,24.4273
Bhopal_Trnsport_H (Madhya Pradesh),Kanpur_Central_H_6 (Uttar Pradesh),111.67851999943814,178.0,125.9656,89.0,2.0,23.0,16.0,23.6993
Bhopal_Trnsport_H (Madhya Pradesh),Kanpur_Central_H_6 (Uttar Pradesh),132.9356867226834,202.0,148.1166,104.0,1.9423076923076923,24.0,15.0,22.151
Bhopal_Trnsport_H (Madhya Pradesh),Kanpur_Central_H_6 (Uttar Pradesh),154.5746200442065,246.0,172.468,121.0,2.0330578512396693,43.0,17.0,24.3514
Bhopal_Trnsport_H (Madhya Pradesh),Kanpur_Central_H_6 (Uttar Pradesh),176.12121373623444,276.0,195.991,138.0,2.0,29.0,16.0,23.5229
Bhopal_Trnsport_H (Madhya Pradesh),Kanpur_Central_H_6 (Uttar Pradesh),198.6601413173164,312.0,223.0272,158.0,1.9746835443037976,36.0,19.0,27.0362
Bhopal_Trnsport_H (Madhya Pradesh),Kanpur_Central_H_6 (Uttar Pradesh),221.00365743865143,353.0,249.3111,179.0,1.9720670391061448,41.0,35.0,45.7692
Bhopal_Trnsport_H (Madhya Pradesh),Kanpur_Central_H_6 (Uttar Pradesh),244.82986392747577,391.0,290.0972,208.0,1.8798076923076923,38.0,28.0,40.786
Bhopal_Trnsport_H (Madhya Pradesh),Kanpur_Central_H_6 (Uttar Pradesh),264.2240760002572,422.0,317.2454,227.0,1.8590308370044053,30.0,19.0,27.1482
Bhopal_Trnsport_H (Madhya Pradesh),Kanpur_Central_H_6 (Uttar Pradesh),286.4937402766051,509.0,354.2711,253.0,2.0118577075098814,87.0,26.0,37.0258
Bhopal_Trnsport_H (Madhya Pradesh),Kanpur_Central_H_6 (Uttar Pradesh),309.597288736898,542.0,380.6407,278.0,1.9496402877697845,32.0,24.0,26.3696
Bhopal_Trnsport_H (Madhya Pradesh),Kanpur_Central_H_6 (Uttar Pradesh),330.68932748854706,593.0,405.8437,301.0,1.9700996677740863,51.0,22.0,25.203
Bhopal_Trnsport_H (Madhya Pradesh),Kanpur_Central_H_6 (Uttar Pradesh),353.42402830980376,641.0,431.3242,308.0,2.081168831168831,48.0,28.0,34.5577
Bhopal_Trnsport_H (Madhya Pradesh),Kanpur_Central_H_6 (Uttar Pradesh),376.3965136309305,673.0,461.2586,329.0,2.045592705167173,32.0,21.0,29.9343
Bhopal_Trnsport_H (Madhya Pradesh),Kanpur_Central_H_6 (Uttar Pradesh),397.57594511272464,735.0,489.767,350.0,2.1,62.0,20.0,28.5084
Bhopal_Trnsport_H (Madhya Pradesh),Kanpur_Central_H_6 (Uttar Pradesh),418.64376090983575,779.0,515.4371,370.0,2.105405405405405,43.0,23.0,29.0435
Bhopal_Trnsport_H (Madhya Pradesh),Kanpur_Central_H_6 (Uttar Pradesh),440.47460629464393,815.0,543.9619,394.0,2.068527918781726,36.0,24.0,28.5248
Bhopal_Trnsport_H (Madhya Pradesh),Kanpur_Central_H_6 (Uttar Pradesh),442.0167037088669,824.0,544.8235,388.0,2.1237113402061856,8.0,2.0,3.6055
Kanpur_Central_H_6 (Uttar Pradesh),Auraiya_AryaNagr_D (Uttar Pradesh),23.354288657913784,35.0,24.8275,17.0,2.0588235294117645,35.0,17.0,24.8275
Kanpur_Central_H_6 (Uttar Pradesh),Auraiya_AryaNagr_D (Uttar Pradesh),45.63436027885563,59.0,50.278400000000005,35.0,1.6857142857142855,24.0,17.0,25.4509
Kanpur_Central_H_6 (Uttar Pradesh),Auraiya_AryaNagr_D (Uttar Pradesh),63.52142084025142,81.0,70.10539999999999,49.0,1.653061224489796,21.0,13.0,19.8269
Auraiya_AryaNagr_D (Uttar Pradesh),Etawah_MhraChng_D (Uttar Pradesh),23.40856396389803,23.0,24.5527,17.0,1.3529411764705883,23.0,17.0,24.5527
Auraiya_AryaNagr_D (Uttar Pradesh),Etawah_MhraChng_D (Uttar Pradesh),45.91388553237514,48.0,47.7214,33.0,1.4545454545454546,24.0,16.0,23.1687
Auraiya_AryaNagr_D (Uttar Pradesh),Etawah_MhraChng_D (Uttar Pradesh),64.00259452326044,66.0,91.0379,64.0,1.03125,17.0,30.0,43.3165
Etawah_MhraChng_D (Uttar Pradesh),Gurgaon_Bilaspur_HB (Haryana),22.41606297080496,40.0,26.2245,24.0,1.6666666666666667,40.0,24.0,26.2245
Etawah_MhraChng_D (Uttar Pradesh),Gurgaon_Bilaspur_HB (Haryana),44.557489594807926,60.0,49.203300000000006,41.0,1.4634146341463414,20.0,17.0,22.9788
Etawah_MhraChng_D (Uttar Pradesh),Gurgaon_Bilaspur_HB (Haryana),66.2071975755868,92.0,79.43480000000001,64.0,1.4375,32.0,22.0,30.2316
Etawah_MhraChng_D (Uttar Pradesh),Gurgaon_Bilaspur_HB (Haryana),88.24750095607145,121.0,103.1549,80.0,1.5125,29.0,16.0,23.7201
Etawah_MhraChng_D (Uttar Pradesh),Gurgaon_Bilaspur_HB (Haryana),111.63655967924214,145.0,129.1234,99.0,1.4646464646464648,24.0,18.0,25.9685
Etawah_MhraChng_D (Uttar Pradesh),Gurgaon_Bilaspur_HB (Haryana),133.3596227518645,183.0,205.8009,178.0,1.0280898876404494,37.0,81.0,79.6653
Etawah_MhraChng_D (Uttar Pradesh),Gurgaon_Bilaspur_HB (Haryana),154.79993371259314,252.0,201.7528,173.0,1.4566473988439306,68.0,81.0,82.4127
Etawah_MhraChng_D (Uttar Pradesh),Gurgaon_Bilaspur_HB (Haryana),176.07371626082363,308.0,213.4999,164.0,1.8780487804878048,56.0,23.0,32.5593
Etawah_MhraChng_D (Uttar Pradesh),Gurgaon_Bilaspur_HB (Haryana),199.07656225414533,364.0,238.8441,184.0,1.9782608695652173,56.0,19.0,25.3442
Etawah_MhraChng_D (Uttar Pradesh),Gurgaon_Bilaspur_HB (Haryana),221.8599753707373,398.0,265.1947,201.0,1.9800995024875625,34.0,19.0,26.3652
Etawah_MhraChng_D (Uttar Pradesh),Gurgaon_Bilaspur_HB (Haryana),242.5509713595298,424.0,286.6017,216.0,1.962962962962963,26.0,15.0,21.407
Etawah_MhraChng_D (Uttar Pradesh),Gurgaon_Bilaspur_HB (Haryana),264.9992894326164,458.0,309.4877,232.0,1.9741379310344829,33.0,16.0,22.886
Etawah_MhraChng_D (Uttar Pradesh),Gurgaon_Bilaspur_HB (Haryana),265.78445402360046,458.0,309.4877,232.0,1.9741379310344829,0.0,0.0,0.0
Bangalore_Nelmngla_H (Karnataka),Bengaluru_Hoodi_IP (Karnataka),9.844005766861825,16.0,12.2613,14.0,1.1428571428571428,16.0,14.0,12.2613
Bangalore_Nelmngla_H (Karnataka),Bengaluru_Hoodi_IP (Karnataka),18.72302835935736,38.0,23.1212,26.0,1.4615384615384617,22.0,15.0,11.9729
